player_name,team,position,price_m
Arseniy Batagov,Trabzonspor,DF,5.3
Mert Müldür,Fenerbahçe,DF,5.3
Rick Van Drongelen,Samsunspor,DF,5.3
Milan Škriniar,Fenerbahçe,DF,5.2
Jonas Svensson,Beşiktaş JK,DF,5.2
Uğur Çiftçi,Sivasspor,DF,5.2
Thalisson,Antalyaspor,DF,5.2
Yasin Özcan,Kasımpaşa,DF,5.2
Serdar Aziz,Fenerbahçe,DF,5.2
Jayden Oosterwolde,Fenerbahçe,DF,5.0
Fidan Aliti,Alanyaspor,DF,5.0
Alim Öztürk,Samsunspor,DF,5.0
Gökhan Sazdağı,Kayserispor,DF,5.0
Djalma,Göztepe,DF,4.9
Bilal Boutobba,Hatayspor,MF,9.3
Rafa Silva,Beşiktaş JK,MF,8.7
Lucas Torreira,Galatasaray,MF,8.4
Emre Kılınç,Samsunspor,MF,8.5
Ibrahim Olawoyin,Çaykur Rizespor,MF,8.6
Miguel Cardoso,Kayserispor,MF,8.6
Barış Alper Yılmaz,Galatasaray,MF,8.7
Oleksandr Zubkov,Trabzonspor,MF,8.6
Haris Hajradinović,Kasımpaşa,MF,8.5
Mahmoud Trézéguet,Trabzonspor,MF,8.7
Görkem Sağlam,Hatayspor,MF,8.8
Mamadou Fall,Kasımpaşa,MF,8.9
Alexandru Maxim,Gaziantep FK,MF,9.0
Gedson Fernandes,Beşiktaş JK,MF,8.8
Talisca,Fenerbahçe,MF,8.9
Nabil Alioui,Adana Demirspor,MF,9.0
Altin Zeqiri,Çaykur Rizespor,MF,6.7
Yunus Akgün,Galatasaray,MF,6.6
Milot Rashica,Beşiktaş JK,MF,6.6
Tasos Bakasetas,Trabzonspor,MF,6.5
Sam Larsson,Antalyaspor,MF,6.4
Yusuf Özdemir,Alanyaspor,MF,6.4
João Mário,Beşiktaş JK,MF,6.4
Olivier Ntcham,Samsunspor,MF,6.3
Hakim Ziyech,Galatasaray,MF,6.2
Florent Hadergjonaj,Alanyaspor,MF,6.2
Yusuf Sarı,Başakşehir FK,MF,6.2
Ahmed Ildız,Göztepe,MF,6.1
Cengiz Ünder,Fenerbahçe,MF,6.1
Muhammed-Cham Saračević,Trabzonspor,MF,6.1
Fisayo Dele-Bashiru,Hatayspor,MF,6.1
David Tijanič,Göztepe,MF,6.1
Deian Sorescu,Gaziantep FK,MF,6.0
Derrick Köhn,Galatasaray,MF,6.0
Jonjo Shelvey,Eyüpspor,MF,6.0
Miguel Crespo,Başakşehir FK,MF,5.9
Fred,Fenerbahçe,MF,5.9
Valentin Eysseric,Fatih Karagümrük,MF,5.9
Aylton Boa Morte,Kayserispor,MF,5.9
Mario Lemina,Galatasaray,MF,5.9
Victor Osimhen,Galatasaray,FW,10.2
Mauro Icardi,Galatasaray,FW,9.5
Ali Sowe,Çaykur Rizespor,FW,9.6
Paul Onuachu,Trabzonspor,FW,9.2
Cherif Ndiaye,Adana Demirspor,FW,9.3
Rômulo,Göztepe,FW,9.1
Ciro Immobile,Beşiktaş JK,FW,9.1
Nuno Da Costa,Kasımpaşa,FW,9.2
Jonathan Okoronkwo,Hatayspor,FW,8.8
Nany Dimata,Samsunspor,FW,8.8
Marcão,Fatih Karagümrük,FW,8.9
Youssef En-Nesyri,Fenerbahçe,FW,9.1
Rey Manaj,Sivasspor,FW,9.2
Álvaro Morata,Galatasaray,FW,9.3
Adam Buksa,Antalyaspor,FW,9.5
John Mary,Çaykur Rizespor,FW,9.4
Dušan Tadić,Fenerbahçe,FW,7.1
M'Baye Niang,Adana Demirspor,FW,7.1
Andraž Šporar,Alanyaspor,FW,7.0
Sokol Cikalleshi,Konyaspor,FW,7.0
Emrecan Bulut,Çaykur Rizespor,FW,6.9
Ahmed Hassan,Alanyaspor,FW,6.8
Kubilay Kanatsızkuş,Göztepe,FW,6.7
Simon Banza,Trabzonspor,FW,6.7
Krzysztof Piątek,Başakşehir FK,FW,6.7
Kerem Aktürkoğlu,Galatasaray,FW,6.6
Can Keleş,Kasımpaşa,FW,6.6
Mame Thiam,Eyüpspor,FW,6.6
Duckens Nazon,Kayserispor,FW,6.5
Hwang Ui-Jo,Alanyaspor,FW,6.5
Umut Nayir,Konyaspor,FW,6.5
Danylo Sikan,Trabzonspor,FW,6.5
Edin Džeko,Fenerbahçe,FW,6.5
Vincent Aboubakar,Hatayspor,FW,6.5
Salih Kavrazlı,Adana Demirspor,FW,6.4
Bertuğ Yıldırım,Hatayspor,FW,6.3
Güven Yalçın,Fatih Karagümrük,FW,6.3
Juan Santos da Silva,Göztepe,FW,6.3
Sergio Córdova,Alanyaspor,FW,6.2
Emmanuel Boateng,Gaziantep FK,FW,6.1
